"Lake Partner Program Calcium (Ca) Concentration Data, 2008-2016",,,,,,,,
,,,,,Latitude,Longitude,,Ca
Lake Name,Township,STN,Site ID,Site Description,(DMS),(DMS),Date,(mg/L)
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,11-May-14,29.7
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,18-May-15,31.3
AIRD LAKE,GRIFFITH AND MATAWATCHAN,33,2,"Main Basin, Deep spot",450781,770451,22-May-16,26.8
ALBION LAKE,FARADAY,5204,1,Mid Lake - Deep Spot,450279,775884,04-Jul-15,8.7
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,11-May-08,8.2
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,13-May-09,7.3
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,25-May-10,8.1
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,30-May-11,7.0
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,21-May-12,7.9
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,27-May-13,7.4
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,19-May-14,7.7
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,17-May-15,7.4
ALLEN LAKE,HARCOURT,6114,1,"Main Basin, N end",450725,781510,23-May-16,7.8
ANIMOOSH LAKE,DICKENS,88,1,"Mid Lake, deep spot",454619,780817,19-May-13,2.5
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,24-May-08,4.8
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,18-May-09,4.0
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,11-Jun-10,4.9
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,26-May-13,4.5
ANSTRUTHER LAKE,N KAWARTHA,96,1,"N end, deep spot",444518,781140,19-May-14,4.5
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,24-May-08,4.8
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,18-May-09,4.4
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,11-Jun-10,4.8
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,26-May-13,4.5
ANSTRUTHER LAKE,N KAWARTHA,96,2,"S end, deep spot",444407,781355,19-May-14,4.8
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,05-Jun-10,35.1
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,12-Jun-11,37.2
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,20-May-12,35.9
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,20-May-13,37.2
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,29-Jun-14,35.0
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,13-Jun-15,35.8
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,23-May-16,33.7
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,26-Jun-16,32.8
ARDOCH LAKE,CLARENDON & MILLER,2776,2,"Mid lake, deep spot",445551,765152,26-Jul-16,32.1
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,09-May-08,2.2
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,17-May-10,2.0
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,20-May-11,1.6
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,15-May-12,2.0
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,20-May-13,1.8
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,19-May-14,2.2
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,19-May-15,1.9
ARMSTRONG LAKE,TRILL,7452,1,open area E end,463150,813330,18-May-16,2.0
ARROWHEAD LAKE (RAT),CHAFFEY,126,1,"Mid lake, deep spot",452353,791212,22-May-16,3.4
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,12-May-08,4.9
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,19-May-10,4.8
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,16-May-11,4.5
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,13-May-12,4.7
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,17-May-13,4.3
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,12-May-14,4.9
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,13-May-15,4.5
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,2,"Stn 2, N/W end",450540,772145,17-May-16,4.6
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,12-May-08,4.8
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,19-May-10,4.7
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,16-May-11,4.5
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,13-May-12,4.6
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,17-May-13,4.4
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,12-May-14,4.8
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,13-May-15,4.6
ASHBY LAKE,"DENBIGH, ABINGER & ASHBY",131,3,"Mid Lake, deep spot",450527,772109,17-May-16,4.3
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,20-May-08,3.4
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,24-May-09,1.8
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,24-May-10,1.9
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,07-May-11,2.7
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,13-Apr-12,3.2
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,13-May-13,3.0
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,20-May-13,2.4
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,18-May-14,3.1
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,11-May-15,3.1
ASHIGAMI LAKE,SCADDING-DAVIS,132,1,Deep spot,463900,803400,19-May-16,3.0
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,28-May-09,2.9
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,16-May-10,3.4
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,29-May-11,2.8
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,02-Jun-12,3.3
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,03-Jun-13,2.8
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,11-Jun-14,3.4
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,11-Jul-15,3.2
AUSTIN LAKE,JAFFRAY-MELICK,6932,1,"Mid Lake, deep spot",495352,942234,30-May-16,3.2
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,20-May-08,11.8
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,24-May-09,10.3
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,24-May-10,10.4
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,19-May-12,10.6
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,31-May-13,10.8
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,27-May-14,10.6
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,17-May-15,10.7
BAGOT LONG LAKE,GREATER MADAWASKA,171,1,Mid Channel,451415,763855,24-May-16,10.0
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,29-Oct-08,18.0
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,06-Jun-09,19.3
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,24-May-10,22.7
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,15-Jun-10,20.7
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,15-Jul-10,21.1
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,03-Jul-11,18.6
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,01-Aug-11,17.3
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,29-Aug-11,17.1
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,25-Sep-11,15.7
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,20-May-12,20.6
BALSAM LAKE,BEXLEY,6902,2,N Bay Rocky Pt.,443759,785022,16-Jun-12,19.9
