Sample Number,Sampled Date,Partial Postal Code,Lead Amount ppb
1141972,10-Feb-11,M4P,6.00
1141973,08-Feb-11,M4J,<0.500
1141974,05-Feb-11,M6G,1300
1141975,25-Feb-11,M4G,<0.500
1141980,14-Feb-11,M4L,4.00
1142000,07-Feb-11,M4K,3.00
1142001,16-Feb-11,M4E,<0.500
1142005,06-Feb-11,M4L,<0.500
1142013,04-Feb-11,M4K,<0.500
1142020,16-Feb-11,M1R,<0.500
1142033,10-Feb-11,M4B,<0.500
1142033,10-Feb-11,M4B,<0.500
1142036,15-Feb-11,M4S,5.00
1142038,21-Feb-11,M4M,9960
1142040,11-Feb-11,M4E,0.900
1142041,17-Feb-11,M4J,<0.500
1142043,17-Feb-11,M4K,<0.500
1142056,10-Feb-11,M4E,<0.500
1142057,17-Feb-11,M4S,6.00
1142062,18-Feb-11,M4E,8.00
1142064,18-Feb-11,M4M,<0.500
1142065,15-Feb-11,M6H,<0.500
1142068,17-Feb-11,M4L,2.00
1142071,18-Feb-11,M4J,5.00
1142072,08-Feb-11,M4L,<0.500
1142073,15-Feb-11,M4L,3.00
1142074,03-Feb-11,M4G,<0.500
1142075,10-Feb-11,M4K,47.0
1143572,18-Feb-11,M4K,6.00
1143573,17-Feb-11,M6G,5.00
1143574,17-Feb-11,M4C,2.00
1143575,15-Feb-11,M4C,2.00
1143577,15-Feb-11,M4S,4.00
1143579,13-Feb-11,M6N,3.00
1143589,20-Feb-11,M4C,53.0
1143602,21-Feb-11,M4C,4.00
1143608,22-Feb-11,M4S,2.00
1143614,22-Feb-11,M6P,2.00
1143630,23-Feb-11,M6H,5.00
1143633,23-Feb-11,M6H,2.00
1143635,23-Feb-11,M6P,4.00
1143650,23-Feb-11,M6G,2.00
1144204,25-Feb-11,M6P,5.00
1144205,25-Feb-11,M4J,1.00
1144206,27-Feb-11,M6S,2.00
1144207,27-Feb-11,M6S,17.0
1144208,27-Feb-11,M2M,2.00
1144209,27-Feb-11,M5R,2.00
1144210,28-Feb-11,M6H,2.00
1144211,28-Feb-11,M6P,2.00
1144212,28-Feb-11,M6G,4.00
1144242,28-Feb-11,M4W,2.00
1144265,28-Feb-11,M6J,6.00
1144269,28-Feb-11,M6E,6.00
1144275,28-Feb-11,M6G,6.00
1144277,28-Feb-11,M6H,3.00
1144278,02-Mar-11,M9N,2.00
1144280,01-Mar-11,M6H,12.0
1144282,01-Mar-11,M6R,12.0
1144283,01-Mar-11,M6S,2.00
1144373,02-Mar-11,M4L,3.00
1144374,02-Mar-11,M4K,3.00
1144375,01-Mar-11,M4L,11.0
1144376,01-Mar-11,M4C,5.00
1144377,28-Feb-11,M4J,2.00
1144385,22-Feb-11,M4G,2.00
1144386,22-Feb-11,M4G,1.00
1145718,24-Feb-11,M6S,<0.500
1145720,22-Feb-11,M4B,6.00
1145721,22-Feb-11,M6E,3.00
1145722,19-Feb-11,M6G,7.00
1145728,18-Feb-11,M4T,<0.500
1145729,17-Feb-11,M4G,1010
1145736,28-Feb-11,M3H,<0.500
1145742,01-Mar-11,M5M,9.00
1145744,02-Mar-11,M2N,7.00
1145745,28-Feb-11,M4T,14.0
1145750,07-Mar-11,M5M,2.00
1145762,08-Mar-11,M5M,17.0
1145766,24-Feb-11,M4G,<0.500
1145767,04-Mar-11,M4R,3.00
1145921,24-Feb-11,M2N,0.500
1146051,01-Mar-11,M8W,5.00
1146082,01-Mar-11,M6K,4.00
1146083,01-Mar-11,M6R,4.00
1146084,02-Mar-11,M6P,12.0
1146086,02-Mar-11,M6S,10.0
1146087,04-Mar-11,M4C,9.00
1146088,03-Mar-11,M4S,<0.500
1146089,06-Mar-11,M6C,<0.500
1146090,07-Mar-11,M9V,0.800
1146091,07-Mar-11,M5R,<0.500
1146093,08-Mar-11,M6J,8.00
1146094,10-Mar-11,M6J,17.0
1146099,04-Mar-11,M6G,10.0
1150699,08-Mar-11,M4K,1.00
1150701,08-Mar-11,M4K,0.600
1152299,11-Mar-11,M4J,5.00
1152301,14-Mar-11,M6K,1.00
1152302,07-Mar-11,M6P,3.00
1152303,14-Mar-11,M6H,2.00
1152304,07-Mar-11,M4R,4.00
1152305,07-Mar-11,M4C,51.0
1152306,11-Mar-11,M5P,<0.500
1152307,10-Mar-11,M1N,4.00
1152336,07-Mar-11,M6E,4.00
1152337,09-Mar-11,M6C,85.0
1152338,07-Mar-11,M4C,9.00
1152339,07-Mar-11,M1N,2.00
1152340,15-Mar-11,M4G,0.500
1152341,12-Mar-11,M1V,<0.500
1152342,07-Mar-11,M4K,11.0
1152344,15-Mar-11,M6S,6.00
1152345,03-Mar-11,M6H,<0.500
1152346,03-Mar-11,M4E,<0.500
1152347,03-Mar-11,M4W,0.700
1152348,03-Mar-11,M6H,17.0
1152349,03-Mar-11,M6P,2.00
1152350,04-Mar-11,M6P,19.0
1152351,05-Mar-11,M4M,1.00
1152352,05-Mar-11,M4M,<0.500
1152353,06-Mar-11,M6C,3.00
1152354,06-Mar-11,M4J,56.0
1152364,08-Mar-11,M4S,9.00
1152365,08-Mar-11,M4J,2.00
1152366,08-Mar-11,M4K,<0.500
1152371,08-Mar-11,M4K,5.00
1152380,10-Mar-11,M4K,18.0
1152381,10-Mar-11,M9N,49.0
1152382,10-Mar-11,M6P,2.00
1152383,10-Mar-11,M4C,8.00
1152384,10-Mar-11,M6S,1.00
1152385,11-Mar-11,M8V,<0.500
1152409,11-Mar-11,M4G,3.00
1152411,13-Mar-11,M4N,4.00
1152412,13-Mar-11,M5A,<0.500
1152420,13-Mar-11,M4E,2.00
1153032,09-Mar-11,M2N,<0.500
1153036,14-Mar-11,M4J,5.00
1153037,19-Mar-11,M4L,11.0
1153038,14-Mar-11,M1N,<0.500
1153039,14-Mar-11,M8W,2.00
1153064,14-Mar-11,M4K,14.0
1153065,14-Mar-11,M6N,3.00
1153066,14-Mar-11,M6B,<0.500
1153081,21-Mar-11,M6R,40.0
1153082,21-Mar-11,M1H,2.00
1153083,22-Mar-11,M4L,<0.500
1153084,18-Mar-11,M4L,4.00
1153085,16-Mar-11,M4K,2.00
1153087,16-Mar-11,M9A,2.00
1153088,16-Mar-11,M8Y,4.00
1153108,16-Mar-11,M4E,2.00
1153112,17-Mar-11,M6H,0.700
1153114,17-Mar-11,M4C,3.00
1153134,17-Mar-11,M4J,<0.500
1153137,15-Mar-11,M6E,4.00
1153163,15-Mar-11,M6G,10.0
1153164,15-Mar-11,M6B,0.900
1153165,15-Mar-11,M4B,<0.500
1153166,15-Mar-11,M5N,9.00
1153186,15-Mar-11,M3H,<0.500
1153187,15-Mar-11,M6R,<0.500
1153188,15-Mar-11,M6S,53.0
1153189,15-Mar-11,M6H,11.0
